Kategoria,Angielski,Polski,Przykładowe zdanie,Tłumaczenie zdania,Poziom
Pogoda,Cloudy,Pochmurny,The sky is cloudy today.,Dziś niebo jest pochmurne.,\
Pogoda,Sunny,Słoneczny,It’s going to be sunny all week.,Cały tydzień będzie słoneczny.,B2
Pogoda,Rainy,Deszczowy,The forecast says it will be rainy tomorrow.,"Prognoza mówi, że jutro będzie deszczowo.",B2
Pogoda,Stormy,Burzowy,We should stay indoors because it’s stormy outside.,"Powinniśmy zostać w środku, ponieważ na zewnątrz jest burzowo.",B2
Pogoda,Foggy,Mglisty,The roads are very foggy this morning.,Drogi są bardzo mgliste tego ranka.,B2
Pogoda,Windy,Wietrzny,It’s quite windy today; make sure to wear a jacket.,"Dziś jest dość wietrznie; upewnij się, że założysz kurtkę.",B2
Pogoda,Drizzle,Mżawka,"There’s a light drizzle, so bring an umbrella.","Jest lekka mżawka, więc weź parasol.",B2
Pogoda,Thunder,Grzmot,The thunder was so loud it woke me up.,"Grzmot był tak głośny, że obudził mnie.",B2
Pogoda,Lightning,Błyskawica,We saw a flash of lightning during the storm.,Widzieliśmy błyskawicę podczas burzy.,B2
Pogoda,Overcast,Zasłonięty chmurami,"The weather is overcast, and it looks like rain.",Pogoda jest zasłonięta chmurami i wygląda na deszczową.,B2
Pogoda,Hail,Grad,The storm brought hailstones as big as golf balls.,Burza przyniosła grad wielkości piłeczek golfowych.,B2
Pogoda,Blizzard,Zamieć,The blizzard caused several road closures.,Zamieć śnieżna spowodowała zamknięcie kilku dróg.,B2
Pogoda,Heatwave,Fala upałów,A heatwave is expected to last through the weekend.,"Oczekuje się, że fala upałów potrwa do końca tygodnia.",B2
Pogoda,Chilly,Chłodny,"It’s a bit chilly this morning, so bring a sweater.","Jest trochę chłodno tego ranka, więc weź sweter.",B2
Pogoda,Mild,Łagodny,The weather has been mild for this time of year.,Pogoda była łagodna jak na tę porę roku.,B2
Pogoda,Frost,Mróz,There was a heavy frost on the ground this morning.,Rano na ziemi był mocny mróz.,B2
Pogoda,Humidity,Wilgotność,"The humidity is high, making it feel even warmer.","Wilgotność jest wysoka, co sprawia, że jest jeszcze cieplej.",B2
Pogoda,Dew,Rosa,The grass was covered in dew when I woke up.,"Trawa była pokryta rosą, gdy się obudziłem.",B2
Pogoda,Drizzle,Mżawka,The weather forecast predicts light drizzle throughout the day.,Prognoza pogody przewiduje lekką mżawkę przez cały dzień.,B2
Pogoda,Gale,Silny wiatr,The gale-force winds caused damage to the coastal areas.,Wiatr o sile sztormowej spowodował szkody w rejonach nadmorskich.,B2
Pogoda,Tornado,Tornado,The tornado touched down and caused extensive damage.,Tornado wylądowało i spowodowało rozległe zniszczenia.,B2
Pogoda,Fahrenheit,Fahrenheit,The temperature is 75 degrees Fahrenheit today.,Temperatura wynosi dziś 75 stopni Fahrenheita.,B2
Pogoda,Celsius,Celsjusz,"It’s 20 degrees Celsius outside, which is quite pleasant.","Na zewnątrz jest 20 stopni Celsjusza, co jest całkiem przyjemne.",B2
Pogoda,Equinox,Równonoc,The spring equinox marks the beginning of the season.,Równonoc wiosenna oznacza początek sezonu.,B2
Pogoda,Solstice,Przesilenie,The summer solstice is the longest day of the year.,Przesilenie letnie to najdłuższy dzień w roku.,B2
Pogoda,Precipitation,Opady,The weather report showed a chance of precipitation this evening.,Raport pogodowy wykazał szansę na opady dzisiaj wieczorem.,B2
Pogoda,Barometer,Barometr,"The barometer dropped, indicating a storm might be approaching.","Barometr spadł, co wskazuje na możliwe nadejście burzy.",B2
Pogoda,Isobar,Izobara,"The weather map shows isobars close together, indicating strong winds.","Mapa pogodowa pokazuje izobary blisko siebie, co wskazuje na silne wiatry.",B2
Pogoda,Forecast,Prognoza,The weather forecast predicts sunny skies for the weekend.,Prognoza pogody przewiduje słoneczną pogodę na weekend.,B2
Pogoda,Temperature,Temperatura,The temperature dropped significantly last night.,Temperatura spadła znacząco zeszłej nocy.,B2
Zdrowie,Diagnosis,Diagnoza,The doctor gave a diagnosis after the tests.,Lekarz postawił diagnozę po wykonaniu badań.,B2
Zdrowie,Symptom,Objaw,A fever is a common symptom of the flu.,Gorączka jest częstym objawem grypy.,B2
Zdrowie,Treatment,Leczenie,The treatment for the infection includes antibiotics.,Leczenie infekcji obejmuje antybiotyki.,B2
Zdrowie,Medication,Lek,She takes her medication every morning.,Bierze swoje leki każdego ranka.,B2
Zdrowie,Prescription,Recepta,I need to get a prescription from the doctor.,Muszę dostać receptę od lekarza.,B2
Zdrowie,Allergy,Alergia,He has an allergy to peanuts.,Ma alergię na orzeszki ziemne.,B2
Zdrowie,Vaccination,Szczepienie,Vaccination is important for preventing diseases.,Szczepienie jest ważne dla zapobiegania chorobom.,B2
Zdrowie,Infection,Infekcja,The wound became infected after a few days.,Rana została zakażona po kilku dniach.,B2
Zdrowie,Inflammation,Zapalenie,The doctor said there was inflammation in the joint.,"Lekarz powiedział, że jest zapalenie w stawie.",B2
Zdrowie,Chronic,Przewlekły,He suffers from chronic back pain.,Cierpi na przewlekły ból pleców.,B2
Zdrowie,Acute,Ostry,She was taken to the hospital with acute abdominal pain.,Zabrano ją do szpitala z ostrym bólem brzucha.,B2
Zdrowie,Recovery,Rekonwalescencja,Her recovery took several weeks.,Jej rekonwalescencja trwała kilka tygodni.,B2
Zdrowie,Diagnosis,Diagnoza,The diagnosis revealed a rare condition.,Diagnoza ujawniła rzadką chorobę.,B2
Zdrowie,Surgery,Operacja,He will need surgery to repair the damaged ligament.,"Będzie potrzebna operacja, aby naprawić uszkodzony więzadło.",B2
Zdrowie,Physical therapy,Fizjoterapia,She is undergoing physical therapy for her knee injury.,Przechodzi fizjoterapię z powodu kontuzji kolana.,B2
Zdrowie,Consultation,Konsultacja,She scheduled a consultation with a specialist.,Umówiła się na konsultację ze specjalistą.,B2
Zdrowie,Examination,Badanie,The doctor performed a thorough examination.,Lekarz przeprowadził dokładne badanie.,B2
Zdrowie,Immunity,Odporność,Her immunity was weakened after the illness.,Jej odporność została osłabiona po chorobie.,B2
Zdrowie,Contagious,Zakaźny,The flu is highly contagious.,Grypa jest bardzo zakaźna.,B2
Zdrowie,Nausea,Nudności,She felt nausea after eating the spoiled food.,Czuła nudności po zjedzeniu zepsutego jedzenia.,B2
Zdrowie,Headache,Ból głowy,He took some medication to relieve his headache.,"Wziął lek, aby złagodzić ból głowy.",B2
Zdrowie,Fatigue,Zmęczenie,Persistent fatigue can be a sign of a more serious condition.,Utrzymujące się zmęczenie może być oznaką poważniejszego stanu.,B2
Zdrowie,Painkiller,Środek przeciwbólowy,She took a painkiller for her sore back.,Wzięła środek przeciwbólowy na bolące plecy.,B2
Zdrowie,Side effect,Efekt uboczny,The medication has several possible side effects.,Lek ma kilka możliwych efektów ubocznych.,B2
Zdrowie,Therapy,Terapia,She is receiving therapy to manage her anxiety.,"Przechodzi terapię, aby radzić sobie z lękiem.",B2
Zdrowie,Specialist,Specjalista,You should see a specialist for a second opinion.,Powinieneś zobaczyć się ze specjalistą w celu drugiej opinii.,B2
Zdrowie,Medical record,Historia medyczna,The hospital requested her medical record.,Szpital poprosił o jej historię medyczną.,B2
Zdrowie,Check-up,Badanie kontrolne,Regular check-ups are important for maintaining health.,Regularne badania kontrolne są ważne dla utrzymania zdrowia.,B2
Zdrowie,Symptoms,Objawy,The symptoms of the flu include fever and cough.,Objawy grypy to gorączka i kaszel.,B2
Zdrowie,Diagnosis,Diagnoza,A proper diagnosis is crucial for effective treatment.,Odpowiednia diagnoza jest kluczowa dla skutecznego leczenia.,B2
Technologia,Software,Oprogramowanie,The new software update improves performance.,Nowa aktualizacja oprogramowania poprawia wydajność.,B2
Technologia,Hardware,Sprzęt komputerowy,We need to upgrade the hardware in our servers.,Musimy zaktualizować sprzęt w naszych serwerach.,B2
Technologia,Network,Sieć,The network was down for several hours.,Sieć była niedostępna przez kilka godzin.,B2
Technologia,Database,Baza danych,The database stores all customer information.,Baza danych przechowuje wszystkie informacje o klientach.,B2
Technologia,Cloud computing,Przetwarzanie w chmurze,Cloud computing allows for remote data access.,Przetwarzanie w chmurze umożliwia zdalny dostęp do danych.,B2
Technologia,Cybersecurity,Cyberbezpieczeństwo,Cybersecurity measures are essential for protection.,Środki cyberbezpieczeństwa są niezbędne dla ochrony.,B2
Technologia,Encryption,Szyfrowanie,Encryption keeps your data safe from unauthorized access.,Szyfrowanie chroni twoje dane przed nieautoryzowanym dostępem.,B2
Technologia,Firewall,Zapora sieciowa,A firewall helps prevent unauthorized network access.,Zapora sieciowa pomaga zapobiegać nieautoryzowanemu dostępowi do sieci.,B2
Technologia,User interface,Interfejs użytkownika,The user interface needs to be more intuitive.,Interfejs użytkownika musi być bardziej intuicyjny.,B2
Technologia,Algorithm,Algorytm,The algorithm processes data to provide results.,"Algorytm przetwarza dane, aby dostarczyć wyniki.",B2
Technologia,Application,Aplikacja,She downloaded a new application for her phone.,Pobierała nową aplikację na swój telefon.,B2
Technologia,Operating system,System operacyjny,The operating system manages all computer resources.,System operacyjny zarządza wszystkimi zasobami komputera.,B2
Technologia,Artificial Intelligence,Sztuczna inteligencja,Artificial intelligence is transforming industries.,Sztuczna inteligencja zmienia branże.,B2
Technologia,Virtual Reality,Wirtualna rzeczywistość,Virtual reality can create immersive experiences.,Wirtualna rzeczywistość może tworzyć wciągające doświadczenia.,B2
Technologia,Augmented Reality,Rozszerzona rzeczywistość,Augmented reality adds digital elements to the real world.,Rozszerzona rzeczywistość dodaje elementy cyfrowe do rzeczywistego świata.,B2
Technologia,Internet of Things,Internet rzeczy,The Internet of Things connects various devices to the internet.,Internet rzeczy łączy różne urządzenia z internetem.,B2
Technologia,Server,Serwer,The server crashed due to high traffic.,Serwer się zawiesił z powodu dużego ruchu.,B2
Technologia,Bandwidth,Przepustowość,Higher bandwidth allows for faster data transfer.,Wyższa przepustowość pozwala na szybszy transfer danych.,B2
Technologia,Protocol,Protokoł,The protocol defines how data is transmitted.,Protokoł definiuje sposób przesyłania danych.,B2
